No,Judul,Episode,Rating,Views
159,Doctors,20,7.9,40
160,Dokgo Rewind,20,8.1,30
161,Doki no Sakura,10,8.2,287
162,Double Fantasy,5,6.7,42
163,Doubtful Victory,40,7.6,23
164,Downtown Rocket,10,8.3,2680
165,Downtown Rocket 2,11,8.6,2841
166,Dr. Frost,10,7.8,36
167,Dragon Day You're Dead,20,7.8,22
168,Dragon Zakura,11,7.6,11376
169,Dream High ,216,6.9,21
170,Dream High,16,8.0,22
171,Dreaming Back to the Qing Dynasty,40,8.0,19
172,Drinking Solo,16,7.8,16
173,Drunk in Good Taste,10,8.0,26
174,Duel,16,8.5,20
175,Eccentric! Chef Moon,16,7.6,18
176,Eizouken ni wa Te o Dasu na!,6,8.0,18
177,Emergency Couple,21,8.0,12
178,Emperors and Me,24,7.3,12
179,Empress Ki,51,8.6,13
180,Endless Love,15,7.7,12
181,Entertainer,16,7.7,12
182,Entourage,16,6.8,10
183,Eulachacha Waikiki 2,12,8.2,9
184,Eulachacha Waikiki,20,8.7,10
185,Ex-Girlfriend Club,12,7.7,8
186,EXO Next Door,16,7.7,8
187,Extracurricular,10,8.6,6
188,Extraordinary You,32,8.5,4
189,Failing in Love,10,7.7,2
190,Faith,24,8.2,3
191,FAKE MOTION: Takkyu no Osho,8,8.1,2
192,Final Cut,9,7.7,14065
193,Frankenstein no Koi,10,7.3,10591
194,5?9: Watashi ni Koi Shita Ikemen Sugiru Obousan,10,8.0,17998
195,Gakkou no Kaidan,10,8.0,14256
196,Galileo,10,8.1,3036
197,Gisou Furin,10,7.4,2752
198,Gokusen,12,8.1,7490
199,Gokusen 2,10,7.9,3102
200,Gokusen 3,11,7.8,3164
